Topic area,Label_1,Definition
Education,Special education: pupils,"Number of pupils (aged 4 to 12 years) at schools for Special education in the area.  







Special education consists of 4 clusters:



Cluster 1: blind, partially sighted children



Cluster 2: deaf, hard of hearing children



Cluster 3: handicapped and long-lasting ill children



Cluster 4: children with disorders and behavioural problems."
Education,Secondary education: pupils,Number of secondary school pupils that go to school in the area
Education,Special education: pupils,"Number of pupils (aged 12 to 20 years) at schools for Secundary Special education in the area.  







Special education consists of 4 clusters:



Cluster 1: blind, partially sighted children



Cluster 2: deaf, hard of hearing children



Cluster 3: handicapped and long-lasting ill children



Cluster 4: children with disorders and behavioural problems."
Education,18-22 yrs.: % low qualified school leaver,"Percentage of 18- to 22-year-olds that have quit school without a basic qualification







Basic qualification: a diploma for higher general secondary education or senior secondary vocational education level 2.







Numbers are only available for areas with at least 15 persons aged between 18 and 22."
Education,Primary education: schools,Number of schools for primary education.
Education,18-22 yrs.: % in education,"Percentage of 18- to 22-year-olds that follow education







Numbers are only available for areas with at least 15 persons aged between 18 and 22."
Education,Special primary education: schools,"Number of schools for Special primary education (SBO). Special primary education is meant for children aged 4 to 11 with learning disabilities or raising difficulties and all other children who need special support and attention. 







"
Education,Special education: schools,"Number of schools for Special education for children aged 4 to 12 years. 







Special education consists of 4 clusters:



Cluster 1: blind, partially sighted children



Cluster 2: deaf, hard of hearing children



Cluster 3: handicapped and long-lasting ill children



Cluster 4: children with disorders and behavioural problems"
Education,Secondary education: schools,"Number of schools for secondary education (avo, lwoo, vmbo, havo or vwo)







Main school buildings and branch schools are both counted."
Education,Special education: schools,"Number of schools for Secondary Special education for children aged 12 to 20 years. 







Special education consists of 4 clusters:



Cluster 1: blind, partially sighted children



Cluster 2: deaf, hard of hearing children



Cluster 3: handicapped and long-lasting ill children



Cluster 4: children with disorders and behavioural problems"
Education,18-22 yrs.: % basic qualification,"Percentage of 18- to 22-year-olds that attained a basic qualification







Basic qualification: a diploma for higher general secondary education or senior secondary vocational education level 2.







Numbers are only available for areas with at least 15 persons aged between 18 and 22.  



"
Education,primary school target level reading (%),Percentage of pupils in the last year of primary school that pass the target level for reading. The numbers present school areas. School year 2019/'20 is missing. Schools did not take tests under the corona measures.
Education,primary school target level maths (%),Percentage of pupils in the last year of primary school that pass the target level for maths. The numbers present school areas. School year 2019/'20 is missing. Schools did not take tests under the corona measures.
Education,primary school target level Dutch language (%),Percentage of pupils in the last year of primary school that pass the target level for Dutch language. The numbers present school areas. School year 2019/'20 is missing. Schools did not take tests under the corona measures.
Education,student hbo,Number of residents that are hbo-students. Numbers are only available for areas with at least 25 hbo-students.
Education,students hbo (%),Percentage of residents that are hbo-students. Numbers are only available for areas with at least 25 hbo-students.
Education,students mbo,Number of residents that are mbo-students. Numbers are only available for areas with at least 25 mbo-students.
Education,students mbo (%),Percentage of residents that are mbo-students. Numbers are only available for areas with at least 25 mbo-students.
Education,students wo,Number of residents that are university students. Numbers are only available for areas with at least 25 university students.
Education,students wo (%),Percentage of residents that are university students. Numbers are only available for areas with at least 25 university students.
Education,primary education test higher,Percentage of pupils in the last year of primary education where the final test indicates a higher educational level for secondary education than previously issued by the teacher. The numbers present school areas. School year 2019/'20 is missing. Schools did not take the final test under the corona measures.
Education,primary education test lower,Percentage of pupils in the last year of primary education where the final test indicates a lower educational level for secondary education than previously issued by the teacher. The numbers present school areas. School year 2019/'20 is missing. Schools did not take the final test under the corona measures.
Education,Pre-primary education: participating indications,"Number of toddlers (aged 30 to 47 months) with an indication for Pre-primary education (VVE) that participates in VVE. 



NB: up to base year 2014, the target population were children aged 30 to 48 months.







Numbers are only available for areas with at least 15 toddlers."
Education,Pre-primary education: % participaton indications,"Percentage of toddlers (aged 30 to 47 months) that have an indication for Pre-primary education (VVE) that participate in VVE. 



NB: up to base year 2014, the target population were children aged 30 to 48 months.







Numbers are only available for areas with at least 15 toddlers."
Education,Pre-primary education: indications,"Number of toddlers (aged 30 to 47 months) with an indication for Pre-primary education



NB: up to base year 2014, the target population were children aged 30 to 48 months.







GGD Amsterdam indicates children with a heightened risk at language deficiency, based on the education level of the parents and / or an environment with little language.  







Numbers are only available for areas with at least 15 toddlers."
Education,Pre-primary education: % indications,"Percentage of toddlers (aged 30 to 47 months) that have an indication for Pre-primary education.



NB: up to base year 2014, the target population were children aged 30 to 48 months.







GGD Amsterdam indicates children with a heightened risk at language deficiency, based on the education level of the parents and / or an environment with little language.  







Numbers are only available for areas with at least 15 toddlers."
Population,Population,Number of people registered in Amsterdam on January 1st .
Population age,0 - 4 years,Number of people registered in Amsterdam aged 0 to 4 on January 1st.
Population age,5 - 9 years,Number of people registered in Amsterdam aged  5 to 9 on January 1st.
Population,Population projection 2023,Projection in 2023 for the population size on January 1st in future years.
Population,Population projection 2023  (0-17 years),Projection in 2023 for the population size aged 0 to 17 on January 1st in future years.
Population age,10 - 14 years,Number of people registered in Amsterdam aged 10 to 14 on January 1st.
Population age,15 - 19 years,Number of people registered in Amsterdam aged 15 to 19 on January 1st.
Population age,20- 24 years,Number of people registered in Amsterdam aged 20 to 24 on January 1st.
Population age,25 - 29 years,Number of people registered in Amsterdam aged 25 to 29 on January 1st.
Population age,30 - 34 years,Number of people registered in Amsterdam aged 30 to 34 on January 1st.
Population age,35 - 39 years,Number of people registered in Amsterdam aged 35 to 39 on January 1st.
Population age,40- 44 years,Number of people registered in Amsterdam aged 40 to 44 on January 1st.
Population age,45- 49 years,Number of people registered in Amsterdam aged 45 to 49 on January 1st.
Population age,50 - 54 years,Number of people registered in Amsterdam aged 50 to 54 on January 1st.
Population age,55 - 59 years,Number of people registered in Amsterdam aged 55 to 59 on January 1st.
Population age,60 - 64 years,Number of people registered in Amsterdam aged 60 to 64 on January 1st.
Population age,65 - 69 years,Number of people registered in Amsterdam aged 65 to 69 on January 1st.
Population age,70 -74 years,Number of people registered in Amsterdam aged 70 to 74 on January 1st.
Population age,75 - 79 years,Number of people registered in Amsterdam aged 75 to 79 on January 1st.
Population age,80 - 84 years,Number of people registered in Amsterdam aged 80 to 84 on January 1st.
Population age,85 - 89 years,Number of people registered in Amsterdam aged 85 to 89 on January 1st.
Population age,90 - 94 years,Number of people registered in Amsterdam aged 90 to 94 on January 1st.
Population age,95 - 99 years,Number of people registered in Amsterdam aged 95 to 99 on January 1st.
Population age,100 + years,Number of people registered in Amsterdam aged 100 and over on January 1st.
Population age,0 - 3 years (%),Percentage of the population aged 0 to 3 on January 1st.
Population age,0 - 3 years,Number of people registered in Amsterdam aged 0 to 3 on January 1st.
Population age,4 - 11 years,Number of people registered in Amsterdam aged 4 to 11 on January 1st.
Population age,12 - 17 years,Number of people registered in Amsterdam aged 12 to 17 on January 1st.
Population age,18 -22 years,Number of people registered in Amsterdam aged 18 to 22 on January 1st.
Population age,23 - 39 years,Number of people registered in Amsterdam aged 23 to 29 on January 1st.
Population age,40 -64 years,Number of people registered in Amsterdam aged 40 to 64 on January 1st.
Population age,65+ years,Number of people registered in Amsterdam aged 65 and over on January 1st.
Population age,65 + years (%),Percentage of  the population aged 65 and over on January 1st.
Population age,4- 12 years,Number of people registered in Amsterdam aged 4 to 12 on January 1st.
Population,Population projection 2023  (18-64 years),Projection in 2023 for the population size aged 18 to 64 on January 1st in future years.
Population,Population projection 2023  (65+years),Projection in 2023 for the population size aged 65 and over on January 1st in future years.
Population age,4 - 12 years (%),Percentage of the population aged 4 to 12 on January 1st.
Population,Population projection 2023  (75+years),Projection in 2023 for the population size aged 75 and over on January 1st in future years.
Population,Population projection 2023  (0-17 years),Projection in 2023 for the population size aged 0 to 17 on January 1st in future years.
Population age,13 - 17 years,Number of people registered in Amsterdam aged 13 to 17 on January 1st.
Population age,13 - 17 years (%),Percentage of the population aged 13 to 17 on January 1st.
Population age,0 - 17 years,Number of people registered in Amsterdam aged 0 to 17 on January 1st.
Population age,0 - 17 years (%),Percentage of the population aged 0 to 17 on January 1st.
Population age,0 - 18 years,Number of people registered in Amsterdam aged 0 to 18 on January 1st.
Population age,0 - 18 years (%),Percentage of the population aged 0 to 18 on January 1st.
Population age,18+ years,Number of people registered in Amsterdam aged 18 and over on January 1st.
Population age,18 - 26 years,Number of people registered in Amsterdam aged 18 to 26 on January 1st.
Population age,18 - 26 years (%),Percentage of the population aged 18 to 26 on January 1st.
Population age,18 - 64 years,Number of people registered in Amsterdam aged 18 to 64 on January 1st.
Population age,18 - 64 years (%),Percentage of the population aged 18 to 64 on January 1st.
Population age,5 - 11 years,Number of people registered in Amsterdam aged 5 to 11 on January 1st.
Population age,15 - 26 years,Number of people registered in Amsterdam aged 15 to 26 on January 1st.
Population age,27 - 65 years,Number of people registered in Amsterdam aged 27 to 65 on January 1st.
Population age,27 - 65 years (%),Percentage of the population aged 27to 65 on January 1st.
Population age,66 + years,Number of people registered in Amsterdam aged 66 and over on January 1st.
Population age,66 + years (%),Percentage of the population aged 66 or over on January 1st.
Population age,65 -74 years,Number of people registered in Amsterdam aged 65 to 74 on January 1st.
Population age,65 -74 years (%),Percentage of the population aged 65 to 74 on January 1st.
Population age,65-79 years,Number of people registered in Amsterdam aged 65 to 79 on January 1st.
Population age,75 + years,Number of people registered in Amsterdam aged 75 and over on January 1st.
Population age,75 + years (%),Percentage of the population aged 75 and over.
Population age,80 + years,Number of people registered in Amsterdam aged 80 and over on January 1st.
Population age,80 +  years (%),Percentage of the population aged 80 and over.
Population age,No migration background 0-17 years,Number of people registered in the area aged 17 years or younger with no migration background.
Population age,No migration background 18-22 years,Number of people registered in the area aged 18 to 22  with no migration background.
Population age,No migration background 23-39 years,Number of people registered in the area aged 23 to 39 with no migration background.
Population age,No migration background 40-64 years,Number of people registered in the area aged 40 to 64 with no migration background.
Population age,No migration background 65+ years,Number of people aged 65 and over with no migration background.
Population age,No migration background 65-79 years,Number of people registered in the area aged 65 to 79 with no migration background.
Population age,No migration background 80+ years,Number of people aged 80 and over with no migration background.
Population age,First generation migrant 0-17 years,Number of people registered in the area aged 17 and under with a western migration background. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 18-22 years,Number of people registered in the area aged 18 to 22 years who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 23-39 years,Number of people registered in the area aged 23 to 39  who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 40-64  years,Number of people registered in the area aged 40 to 64 who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 80+  years,Number of people registered in the area aged 65 and over who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 65-79  years,Number of people registered in the area aged 65 to 79 who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 80+  years,Number of people registered in the area aged 80 and over who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,Second generation migrant 0-17  years,Number of people registered in the area aged 17 years and under who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 18-22 years,Number of people registered in the area aged 18 to 22 who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 23-39  years,Number of people registered in the area aged 23 to 39 who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 40-64  years,Number of people registered in the area aged 40 to  64 who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population,Population projection 2023  (18-64 years),Projection in 2023 for the population size aged 18 to 64 on January 1st in future years.
Population,Population projection 2023  (65+years),Projection in 2023 for the population size aged 65 and over on January 1st in future years.
Population age,Second generation migrant 65+  years,Number of people registered in the area aged 65 and over who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 65-79  years,Number of people registered in the area aged 65 to  79 who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 80+  years,Number of people registered in the area aged 80 and over who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,No migration background 0-17  years  (%),Percentage of the population aged 17 and under with no migration background.
Population age,No migration background 18-22  years  (%),Percentage of the population aged 18 to 22 with no migration background.
Population age,No migration background 23-39 years  (%),Percentage of the population aged 23 to 39 with no migration background.
Population age,No migration background 40-64  years  (%),Percentage of the population aged 40 to 64 with no migration background.
Population age,No migration background 65+  years  (%),Percentage of the population aged 65 and over with no migration background.
Population age,No migration background 65-79  years  (%),Percentage of the population aged 65 to 79 with no migration background.
Population age,No migration background 80+  years  (%),Percentage of the population aged 80 and over with no migration background.
Population age,First generation migrant 0-17  years  (%),Percentage of people registered in the area aged 17 and under with a western migration background. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 18-22  years  (%),Percentage of people registered in the area aged 18 to 22 years who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population,Population projection 2023  (75+years),Projection in 2023 for the population size aged 75 and over on January 1st in future years.
Population,Gender: male,Number of men registered in Amsterdam on January 1st.
Population age,First generation migrant 23-39  years (%),Percentage of people registered in the area aged 23 to 39  who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 40-64 years  (%),Percentage of people registered in the area aged 40 to 64 who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 65+  years  (%),Percentage of people registered in the area aged 65 and over who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 65-79  years (%),Percentage of people registered in the area aged 65 to  79 who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,First generation migrant 80+  years  (%),Percentage of people registered in the area aged 80 and over  who are a first generation migrant. The person is a first generation migrant when the person is born abroad.
Population age,Second generation migrant 0-17  years (%),Percentage of people registered in the area aged 17 years and under who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 18-22 years  (%),Percentage of people registered in the area aged 18 to 22 who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 23-39  years (%),Percentage of people registered in the area aged 23 to 39 who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 40-64  years (%),Percentage of people registered in the area aged 40 to  64 who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 65+  years (%),Percentage of people registered in the area aged 65 and over who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 65-79  years  (%),Percentage of people registered in the area aged 65 to  79 who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population age,Second generation migrant 80+  years (%),Percentage of people registered in the area aged 80 and over who are a second generation migrant. The person is a second generation migrant when the person is born in the Netherlands and when at least one of the parents is born is born abroad.
Population,Gender: female,Number of women registered in Amsterdam on January 1st.
Population,Gender: % male,Male population percentage on January 1st of the base year.
Population,Gender: % female,Female population percentage on January 1st of the base year.
Population,Population density,Number of residents per square kilometre of land.
Population,Address for correspondence only,"Number of people registered in Amsterdam not living at their registered address



The address is for correspondence only."
Population,Inhabitants sheltered accommodation,"Number of people not living independently, but in sheltered accommodation."
Population,Inhabitants sheltered accommodation (%),"Percentage of the population not living independently, but in sheltered accommodation"
Population,Inhabitants sheltered accommodation,"Number of people not living independently, but in sheltered accommodation."
Population,Inhabitants sheltered accommodation (%),"Percentage of the population not living independently, but in sheltered accommodation"
Population,Potential labour force 15-64 years,The potential labour force: Number of people aged 15 to 64.
Population,Potential labour force 15-65 years,The potential labour force: Number of people aged 15 to 65.
Population,Potential labour force 15-74 years,The potential labour force: Number of people aged 15 to 74.
Population,Potential labour force 15-74 years  (%),Percentage of the population aged 15 to 74 .
Population,Potential labour force 18-74 years,Population aged 18 to 74 .
Population,Migration background: none,Number of people registered in Amsterdam born in the Netherlands with both parents also born in the Netherlands
Population,Migration background: European (excl the Netherlands),"Number of people registered in Amsterdam born in in a European country (excl. the Netherlands) or with at least one parent born in a European country.







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: Turkish,"Number of people registered in Amsterdam born in Turkey or with at least one parent born in Turkey.











The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: Moroccan,"Number of people registered in Amsterdam born in Morocco or with at least one parent born in Morocco.







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: Surinamese,"Number of people registered in Amsterdam born in Surinam or with at least one parent born in Surinam.







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: other Africa,"Number of people registered in Amsterdam born in an African country (excl. Morocco) or with at least one parent born in an African country (excl. Morocco).







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: other Asia,"Number of people registered in Amsterdam born in an Asian country (excl. Turkey) or with at least one parent born in an Asian country (excl. Turkey).







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: America & Oceanië,"Number of people registered in Amsterdam born in America or Oceania or with at least one parent born in America or Oceania.







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: Unknown,Number of people registered in Amsterdam where the country of birth of the person as well as those of the parents are unknown.
Population,Migration background: % none,Percentage of people registered in Amsterdam born in the Netherlands with both parents also born in the Netherlands
Population,Migration background: % European (excl the Netherlands),"Percentage of people registered in Amsterdam born in a European country (excl. the Netherlands) or with at least one parent born in a European country.







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: % Turkish,"Percentage of people registered in Amsterdam born in Turkey or with at least one parent born in Turkey.











The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: % Moroccan,"Percentage of people registered in Amsterdam born in Morocco or with at least one parent born in Morocco.







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: % Surinamese,"Percentage of people registered in Amsterdam born in Surinam or with at least one parent born in Surinam







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: % other Africa,"Percentage of people registered in Amsterdam born in an African country (excl. Morocco) or with at least one parent born in an African country (excl. Morocco).







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: % other Asia,"Percentage of people registered in Amsterdam born in an Asian country (excluding Turkey) or with at least one parent born in an Asian country (exl. Turkey).







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: % America & Oceanië,"Percentage of people registered in Amsterdam born in America or Oceania or with at least one parent born in America or Oceania.







The birth country of the person determines the migration background, unless the person was born in the Netherlands. In that case the mother's country of birth determines the migration background, unless the mother was born in the Netherlands. In that case the father's country of birth determines the migration background."
Population,Migration background: % Unknown,Percentage of people registered in Amsterdam where the person's and the parents' country of birth are unknown.
Population,New urbanites,"Number of people classified as 'new urbanites': people with a Dutch or western migration background  (Eastern Europe excluded), aged 18 to 54, who  moved to Amsterdam aged 18 and over."
Population,New urbanites (%),"Percentage of the population classified as 'new urbanites': people with a Dutch or western migration background  (Eastern Europe excluded), aged 18 to 54, who  moved to Amsterdam aged 18 and over."
Population,Households: total,"The total number of  households







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: married without children,"Number of households type: married without children







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: married with children,"Number of households type: married with children







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: unmarried without children,"Number of households type: unmarried without children







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: unmarried with children,"Number of households type: unmarried with children







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: single-parent family,"Number of households type: single-parent family







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: single-person,"Number of households type: single-person







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: other,"Number of households type: other







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: % single-parent family,"Percentage of households: single-parent family







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: % single-person,"Percentage of households: single-person







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: % couple without children,"Percentage of households: couple without children







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: couple without children,"households: couple without children







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: % couple with children,"Percentage of households: couple with children







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: % other,"Percentage of households: other







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: couple with children,"Percentage of households: couple with children.







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: with children,"Number of households type: with children







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: % with children,"Percentage of households: households with children







A household consists of one or more people forming  a social unit, living together in the same dwelling, and providing for themselves."
Population,Households: 1 child,Number of households with 1  child.
Population,Households: 2 children,Number of households with 2  children.
Population,Households: 3 children,Number of households with 3  children.
Population,Households: 4+ children,Number of households with 4 or more children.
Population,One-person household 75+ years,"Number of  people aged 75 and over  that live alone.



"
Population,One-person household 75+ years (%),"Percentage of the population aged 75 and over and living alone.



"
Population,Main resident 18-66,Number of households with a main resident aged between 18 and 66.
Population,Population: births,"Number of births during one year by mothers who are registered in Amsterdam.



Number includes stillborn children."
Population,Population: deaths,Number of deaths during one year of people registered in Amsterdam.
Population,Population: arrivals from outside the city,Number of people that moved to Amsterdam from another municipality in the Netherlands or abroad.
Population,Population: departures  from the city,Number of people that moved from Amsterdam to another municipality in the Netherlands or abroad.
Population,Population: arrivals from Amsterdam (other area),Number of people that moved to the particular area  from another area in Amsterdam.
Population,Population: departures to Amsterdam (other area),Number of people that moved from the particular area to another area in Amsterdam.
Population,Population: migration within area,Number of people that moved within the area.
Population,Migration turnover (domestic),The domestic migration turnover: the total amount of all moves  within the Netherlands divided by the average population in a year.
Population,Migration turnover (total),The total migration turnover:  the total amount of all moves divided by the average population in a year
Population,Duration  of residence,The duration of residence: the average number of years between registration on the current address and the key date.
Commercial activities: Retail,number of points of sale per area,"Locatus indicates that a point of sale is a company or institution with a publicly accessible space where products or services are offered and traded. These can be shops, hairdressers or restaurants, but also saunas, real estate agencies and museums. The retail floor area is the area of ​​a sales point that is accessible to the public. The data collection is based on observational research in shopping areas in Amsterdam supplemented with desk research."
Commercial activities,Companies total,"Total number of companies registered at the chamber of commerce.







A company has at least one employee (this can be the owner) that works at least 12 hours per week.







Since 2022, O&S has adopted the methodology of LISA, the national register of companies and employees, to determine the number of companies and employees per year. Because of this the reference date is April 1st and no longer January 1st. The statistics up to and including 2011 are based on the old O&S method (ARRA-data). The new method, based on LISA-data, is availabe from 2012 and onward, making comparison between years after 2012 possible."
